fire_number,fire_location_latitude,fire_location_longitude,fire_origin,general_cause_desc,activity_class,fire_type,weather_conditions_over_fire,fuel_type,fire_duration,fire_duration2,fire_duration3,reported_month
0,50.851383,-114.619033,6,10,6,4,4,0,1500,0,1500,9
9,54.18625,-115.1752,6,10,1,4,3,8,161760,56460,98940,6
2,55.06466700000001,-117.813383,6,10,6,4,4,0,60,0,60,5
6,57.182267,-117.233117,5,0,8,4,4,12,844800,57120,783540,5
1,53.576885,-115.13138,5,11,10,4,4,9,8340,0,60,5
0,49.858067,-113.978117,6,10,6,4,4,0,900,0,600,5
0,51.573483,-114.9433,6,10,6,4,4,0,600,0,600,8
7,52.593888,-114.84348,6,4,0,4,3,8,6300,0,4020,7
0,51.269767,-115.0227,6,10,7,0,0,0,540,0,540,9
4,54.785633,-111.895083,6,11,26,4,3,10,1440,0,60,5
0,51.089667,-115.0499,2,11,24,4,3,10,35280,0,840,8
9,54.328498,-115.565931,6,1,15,3,4,11,435600,423900,1800,4
1,53.82845,-116.4876,6,13,0,4,3,0,7320,0,1500,6
0,49.801933,-113.958417,6,4,0,4,3,2,12900,540,5820,7
9,54.06710500000001,-115.583367,5,11,8,3,4,0,77880,0,74280,6
7,52.76355,-115.648783,6,4,0,4,1,9,3600,0,60,5
8,55.54966700000001,-114.65,6,4,0,3,2,2,5460,0,5100,5
7,52.462913,-115.095227,6,7,16,4,4,9,21540,3480,16200,5
5,57.229741,-110.096387,6,4,0,4,4,1,3543540,2394000,1141380,7
5,57.26815,-112.815033,6,4,0,4,4,8,69660,13740,2760,8
0,51.1068,-115.002783,2,11,19,4,4,0,7980,0,1200,3
1,53.6117,-115.3395,6,9,14,4,4,3,64680,10620,51780,4
0,51.068883,-115.29675,6,10,7,4,4,0,6060,0,60,7
6,56.710967,-119.41645,6,4,0,4,2,2,2520,0,300,7
4,54.5936,-110.54698,6,10,6,3,3,7,19980,0,1800,11
8,57.013167,-115.011833,6,4,0,4,2,2,8520,1200,3000,6
5,57.4923,-113.82015,6,4,0,3,2,8,68220,6420,60120,7
