fire_number,fire_location_latitude,fire_location_longitude,fire_origin,general_cause_desc,activity_class,fire_type,weather_conditions_over_fire,fuel_type,fire_duration,fire_duration2,fire_duration3,reported_month
0,51.4097,-115.083667,6,10,8,0,0,0,300,0,300,7
3,57.4363,-116.648417,6,4,0,4,4,2,11280,0,6300,6
3,58.426717,-114.55555,2,4,0,4,1,2,152640,94860,48600,6
0,51.4131,-115.084867,6,10,8,0,0,0,900,0,900,5
8,55.905933,-113.57885,2,11,16,4,3,2,81000,0,69660,4
8,55.64856700000001,-116.070717,6,14,0,4,3,11,5400,0,60,5
5,56.595583,-112.881583,6,4,0,4,2,2,11100,3300,5220,6
6,56.534833,-118.581467,6,4,0,3,4,2,5160,0,4740,7
6,56.78005,-116.481517,6,4,0,2,3,2,55260,9420,2580,8
6,56.271726,-117.392699,5,11,9,4,3,14,3201900,0,3192720,5
8,57.21741700000001,-113.093133,6,4,0,2,3,2,1548540,503880,1026660,8
8,56.827267000000006,-113.323617,6,4,0,3,3,8,48480,2040,2820,6
0,51.403367,-115.054817,6,10,8,0,0,0,300,0,300,5
0,49.903733,-114.38735,6,10,7,3,4,0,600,0,600,5
3,58.4668,-114.5367,2,11,6,4,3,0,71700,70260,300,5
1,53.96175,-115.871467,6,4,0,4,3,2,6900,0,0,7
8,55.32837900000001,-115.401674,2,11,9,3,3,0,259200,0,254100,7
6,56.82525,-117.960733,6,4,0,3,4,2,82380,81060,60,7
3,57.45931700000001,-115.367433,6,4,0,3,3,7,95940,5880,89580,9
5,57.79026700000001,-111.358017,6,4,0,4,3,8,2154900,82980,2060820,5
1,53.23447,-116.99612,6,6,31,3,4,0,185400,0,82800,1
0,51.607333,-115.345667,6,4,0,4,3,2,9420,600,1980,8
5,56.34521700000001,-112.0506,6,4,0,4,2,2,13080,5040,3060,7
7,52.686823,-114.865154,6,7,15,4,3,11,3360,0,1980,3
4,55.928113,-110.732382,2,3,31,4,3,11,2400,0,1920,4
6,56.32686700000001,-119.390233,6,10,11,4,4,0,6720,0,0,4
8,55.908112,-115.638853,2,11,11,4,4,11,89220,0,87300,6
0,50.752183,-114.5359,6,7,15,4,4,11,7500,0,5880,3
6,57.185717,-116.873033,6,4,0,2,4,2,348480,74940,266880,7
0,49.991633,-114.402817,6,10,7,4,4,0,1080,0,1080,5
0,51.2709,-115.007817,6,10,8,0,0,0,180,0,180,8
9,54.222033,-115.762133,6,10,2,3,4,11,3600,0,1800,5
3,59.89551700000001,-118.760133,6,4,0,4,3,2,14157900,5633700,8029020,6
9,54.724217,-116.73685,6,4,0,3,3,2,5597700,682560,4825680,11
7,52.022293,-115.354319,6,4,0,4,2,0,3540,2160,780,8
4,55.298,-110.891767,1,4,0,2,3,2,1053000,92880,810420,6
3,59.482233,-116.5351,6,4,0,4,2,2,18720,0,6420,6
9,54.097183,-115.59745,6,11,30,4,4,11,3240,0,1440,5
0,51.283833,-115.144133,6,10,8,0,0,0,240,0,240,9
0,51.4135,-115.086183,6,10,7,0,0,0,1620,0,1620,7
3,58.21845,-116.680333,6,4,0,4,3,8,10020,3720,4440,8
8,54.93278299999999,-115.210783,6,7,18,4,4,2,75000,57780,14400,9
4,55.32366700000001,-110.968833,1,4,0,4,3,2,338340,21600,147600,6
0,50.02795,-114.037483,6,10,8,0,0,0,600,0,600,5
3,58.496423,-115.123148,2,11,11,4,3,11,68520,63300,3600,4
3,58.497217000000006,-114.5397,2,3,31,4,1,2,87120,70440,11220,5
2,54.4401,-119.017717,6,4,0,4,3,8,7140,5040,300,6
3,58.48315,-114.362033,6,3,31,4,4,11,201600,16800,171300,4
0,51.63285,-115.09845,6,10,7,0,0,0,600,0,600,7
1,53.07145,-117.0237,6,10,7,4,4,0,1200,0,1200,9
0,50.398,-114.50025,2,11,6,4,4,11,3540,480,2400,5
9,54.44348299999999,-114.562733,6,10,0,4,4,4,540,0,480,5
3,58.080817,-116.365417,5,11,16,4,4,0,148800,0,144480,5
